symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
CLCO,0.0,$0.00,$0.00,$4.14,15.0,$-12.13,-15.0,$-12.41,$0.00,0.0
CLOI,0.0,$0.00,$0.00,$3.80,10.0,$-52.00,-10.0,$-52.13,$2.52,0.0
CLS,0.0,$0.00,$0.00,$9039.67,0.0,$0.00,-200.0,$-45.00,$0.00,200.0
CLSK,0.0,$0.00,$0.00,$246.35,500.0,$-18.31,-500.0,$-17.50,$0.00,0.0
CMA,0.0,$0.00,$0.00,$28.10,250.0,$-41.07,-250.0,$-41.19,$0.00,0.0
CMCSA,0.0,$0.00,$0.00,$435.48,104.6,$-38.64,-104.6,$-39.90,$2.90,0.0
CODI,0.0,$0.00,$0.00,$192.08,13.0,$-22.29,-13.0,$-22.50,$0.00,0.0
COLD,0.0,$0.00,$0.00,$0.10,5.0,$-27.94,-5.0,$-27.96,$0.00,0.0
COP,0.0,$0.00,$0.00,$148.45,200.0,$-121.45,-200.0,$-121.00,$0.00,0.0
COST,0.0,$0.00,$0.00,$9.96,10.0,$-497.00,-10.0,$-498.00,$0.00,0.0
COWZ,0.0,$0.00,$0.00,$32.95,100.0,$-51.17,-100.0,$-51.50,$0.00,0.0
CPT,0.0,$0.00,$0.00,$0.41,1.0,$-103.38,-1.0,$-103.79,$0.00,0.0
CRM,0.0,$0.00,$0.00,$126.08,26.0,$-207.42,-26.0,$-212.28,$0.00,0.0
CRWD,0.0,$0.00,$0.00,$308.29,5.0,$-129.44,-5.0,$-133.57,$0.00,0.0
CSCO,0.0,$0.00,$0.00,$40.12,45.0,$-51.04,-45.0,$-51.50,$19.50,0.0
CSWC,0.0,$0.00,$0.00,$3151.43,1559.0,$-20.52,-1559.0,$-22.09,$701.00,0.0
CTO,0.0,$0.00,$0.00,$228.32,750.0,$-16.62,-750.0,$-16.92,$0.00,0.0
