symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
LFMD,1000.0,$-10.28,$-10.28,$-8565.58,1000.0,$-10.28,0.0,$0.00,$0.00,0.0,$1709.42
LNC,400.0,$-25.93,$-26.83,$-9126.92,1000.0,$-27.23,-600.0,$-27.50,$360.00,0.0,$1243.22
MAIN,1500.0,$-38.78,$-41.53,$-60282.23,1523.0,$-41.58,-23.0,$-44.83,$4133.42,0.0,$-2116.65
MEGI,1300.0,$-11.56,$-13.24,$-15034.34,6300.0,$-14.08,-5000.0,$-14.30,$2175.55,0.0,$0.00
MO,500.0,$-44.33,$-46.35,$-21764.20,2400.0,$-44.60,-1900.0,$-44.14,$1009.00,0.0,$400.48
MRCC,1800.0,$-7.50,$-8.02,$-13225.27,2113.0,$-7.91,-313.0,$-7.31,$925.00,0.0,$281.85
MTDR,400.0,$-67.36,$-67.36,$-24658.65,400.0,$-67.36,0.0,$0.00,$0.00,0.0,$2285.35
NEE,200.0,$-61.74,$-61.74,$-11817.06,600.0,$-67.49,-400.0,$-70.36,$0.00,0.0,$531.78
NRO,2000.0,$-3.26,$-3.37,$-6528.98,2000.0,$-3.37,0.0,$0.00,$203.42,0.0,$0.00
NVS,200.0,$-100.62,$-103.79,$-19329.43,200.0,$-103.79,0.0,$0.00,$633.32,0.0,$795.25
O,7000.0,$-54.49,$-56.11,$-373808.50,8458.0,$-56.50,-1458.0,$-58.39,$11331.52,0.0,$7624.73
OXLC,10000.0,$-4.64,$-5.17,$-46362.45,14333.0,$-5.23,-4333.0,$-5.37,$5348.24,0.0,$0.00
PCTY,200.0,$-170.40,$-170.40,$-31638.41,200.0,$-170.40,0.0,$0.00,$0.00,0.0,$2442.56
PDI,1000.0,$-16.70,$-17.73,$-16703.97,1520.0,$-18.09,-520.0,$-18.78,$1029.74,0.0,$0.00
PDO,2000.0,$-12.18,$-12.98,$-24350.97,2020.0,$-12.98,-20.0,$-12.93,$1601.33,0.0,$0.00
PFLT,2500.0,$-9.52,$-10.67,$-23408.51,4350.0,$-10.95,-1850.0,$-11.33,$2869.87,0.0,$396.62
PLAB,300.0,$-25.98,$-25.98,$-6813.39,303.0,$-26.06,-3.0,$-33.52,$0.00,0.0,$981.20
PLTR,2000.0,$-23.00,$-23.00,$-39969.58,2802.0,$-22.04,-802.0,$-19.64,$0.00,0.0,$6023.63
PNNT,5000.0,$-5.65,$-6.35,$-28198.26,5600.0,$-6.37,-600.0,$-6.50,$3501.61,0.0,$47.65
QYLD,4000.0,$-17.13,$-17.83,$-68602.00,4100.0,$-17.82,-100.0,$-17.30,$2797.00,0.0,$-69.62
RNP,500.0,$-17.05,$-18.79,$-8525.32,720.0,$-19.22,-220.0,$-20.18,$870.40,0.0,$0.00
ROOT,300.0,$-57.14,$-57.14,$-12075.38,300.0,$-57.14,0.0,$0.00,$0.00,0.0,$5066.62
SCM,3000.0,$-13.31,$-14.14,$-39542.04,3179.0,$-14.13,-179.0,$-13.88,$2509.11,0.0,$376.42
SDGR,200.0,$-28.25,$-28.25,$-4893.36,200.0,$-28.25,0.0,$0.00,$0.00,0.0,$756.64
SM,600.0,$-49.82,$-49.88,$-28617.89,1000.0,$-47.88,-400.0,$-44.88,$36.00,0.0,$1273.26
SOUN,5000.0,$-9.55,$-9.55,$-20326.37,18000.0,$-6.08,-13000.0,$-4.74,$0.00,0.0,$27408.89
SPE,2000.0,$-11.32,$-11.98,$-22639.32,2600.0,$-11.82,-600.0,$-11.30,$1323.37,0.0,$0.00
SPXS,3000.0,$-9.44,$-9.49,$-25818.15,3000.0,$-9.49,0.0,$0.00,$137.09,0.0,$2514.76
TQQQ,500.0,$-67.54,$-67.97,$-22214.80,2712.0,$-60.36,-2212.0,$-58.64,$215.14,0.0,$11553.51
TREX,200.0,$-100.30,$-100.30,$-17206.29,300.0,$-96.87,-100.0,$-90.00,$0.00,0.0,$2853.79
USFD,200.0,$-54.54,$-54.54,$-10341.35,200.0,$-54.54,0.0,$0.00,$0.00,0.0,$566.65
USOI,600.0,$-74.21,$-75.58,$-44528.31,600.0,$-75.58,0.0,$0.00,$822.22,0.0,$0.00
VGT,100.0,$-530.00,$-530.00,$-51222.06,100.0,$-530.00,0.0,$0.00,$0.00,0.0,$1777.94
VICI,700.0,$-29.12,$-30.48,$-19168.01,1300.0,$-31.05,-600.0,$-31.73,$947.00,0.0,$1218.54
VNQ,200.0,$-84.58,$-85.31,$-16271.44,201.0,$-85.29,-1.0,$-82.27,$146.48,0.0,$643.85
VZ,200.0,$-40.00,$-40.00,$-7933.35,200.0,$-40.00,0.0,$0.00,$0.00,0.0,$66.65
WPC,2000.0,$-63.97,$-67.50,$-120272.73,2747.0,$-67.28,-747.0,$-66.70,$7052.63,0.0,$7666.39
XFLT,1000.0,$-7.18,$-7.30,$-7175.10,1000.0,$-7.30,0.0,$0.00,$127.50,0.0,$0.00
XLE,400.0,$-94.80,$-95.26,$-35762.15,1112.0,$-88.64,-712.0,$-84.91,$186.09,0.0,$2156.46
