symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
EXG,1000.0,$-7.59,$-7.93,$-7591.67,1000.0,$-7.93,0.0,$0.00,$337.33,0.0,$0.00
FDUS,600.0,$-18.00,$-19.56,$-10800.22,600.0,$-19.56,0.0,$0.00,$912.00,0.0,$24.33
FEPI,750.0,$-50.22,$-52.95,$-37661.78,750.0,$-52.95,0.0,$0.00,$2041.78,0.0,$5.94
GBDC,400.0,$-13.98,$-14.60,$-5590.00,400.0,$-14.60,0.0,$0.00,$250.00,0.0,$0.00
GCT,1000.0,$-28.05,$-29.89,$-28046.94,1000.0,$-29.89,0.0,$0.00,$0.00,0.0,$1838.06
GLAD,13300.0,$-10.18,$-10.69,$-135443.05,13300.0,$-10.69,0.0,$0.00,$6663.26,0.0,$50.21
GOOD,200.0,$-11.88,$-13.63,$-2376.36,300.0,$-13.50,-100.0,$-13.25,$100.00,0.0,$248.66
HGBL,1800.0,$-3.65,$-3.65,$-6576.43,2157.0,$-3.67,-357.0,$-3.77,$0.00,0.0,$0.00
HQH,700.0,$-16.74,$-17.25,$-11714.92,700.0,$-17.25,0.0,$0.00,$360.40,0.0,$0.00
HR,200.0,$-16.42,$-17.13,$-3284.34,200.0,$-17.13,0.0,$0.00,$62.00,0.0,$78.66
HTD,750.0,$-19.41,$-20.05,$-14557.08,750.0,$-20.05,0.0,$0.00,$483.00,0.0,$0.00
IBKR,100.0,$-116.51,$-123.35,$-11651.41,100.0,$-123.35,0.0,$0.00,$0.00,0.0,$683.59
IBM,100.0,$-184.86,$-190.59,$-18486.36,100.0,$-190.59,0.0,$0.00,$0.00,0.0,$572.64
IMNM,1000.0,$-16.28,$-23.13,$-16284.78,1000.0,$-23.13,0.0,$0.00,$0.00,0.0,$6845.22
JBBB,50.0,$-46.53,$-47.34,$-2326.29,50.0,$-47.34,0.0,$0.00,$40.61,0.0,$0.00
JEPQ,700.0,$-43.59,$-46.73,$-30513.78,1550.0,$-47.82,-850.0,$-48.72,$2153.56,0.0,$42.97
KRC,200.0,$-33.34,$-35.61,$-6667.16,200.0,$-35.61,0.0,$0.00,$108.00,0.0,$345.84
L0C990030,-35481.0,$0.00,$0.00,$0.00,0.0,$0.00,0.0,$0.00,$0.00,-35481.0,$0.00
LADR,1500.0,$-8.70,$-9.32,$-13054.41,2000.0,$-9.85,-500.0,$-11.46,$632.50,0.0,$289.96
LFMD,1000.0,$-7.73,$-10.28,$-7729.68,1000.0,$-10.28,0.0,$0.00,$0.00,0.0,$2545.32
MAA,75.0,$-140.92,$-142.32,$-10568.97,76.0,$-142.42,-1.0,$-149.92,$105.00,0.0,$0.00
MAIN,1300.0,$-38.65,$-40.68,$-50243.23,1300.0,$-40.68,0.0,$0.00,$2449.40,0.0,$196.65
MARA,500.0,$-16.92,$-20.84,$-8460.33,500.0,$-20.84,0.0,$0.00,$0.00,0.0,$1959.67
MEGI,1300.0,$-11.31,$-13.24,$-14709.34,6300.0,$-14.08,-5000.0,$-14.30,$2500.55,0.0,$0.00
MFC,800.0,$-17.83,$-18.67,$-14261.37,994.0,$-18.83,-194.0,$-19.50,$557.26,0.0,$114.65
MFIC,381.0,$3.32,$1.39,$1264.70,2000.0,$-12.98,-2000.0,$-13.25,$734.92,381.0,$0.00
